Libraries Count
Openfl 173
HaxeFlixel 94
Lime 44
Heaps 44
Kha 43
Tink 42
Actuate 28
Haxeui 25
Hxcpp 23
Hxnodejs 15
Thx 14
Nape 13
PixiJS 12
HScript 12
MSignal 11
Away3D 11
Starling 11
Munit 10
Polygonal 10
Format 10
HaxePunk 10
Luxe 9
Minject 8
Box2D 8
Buddy 8
Flambe 6
Swf 6
CompileTime 6
React 6
Ash 6
Castle 5
Crashdumper 5
Armory3D 5
StablexUI 5
Dox 4
Svg 4
HaxeGA 4
HaxeWS 4
HxYaml 4
Tweenx 4
Linc 4
Hxcs 4
Random 4
Mockatoo 4
Utest 4
ThreeJS 3
HxBit 3
Datetime 3
PromHx 3
Modular 3
MCover 3
Hxparse 3
MsgPackHaxe 3
HxJava 3
HashLink 3
Hexmachina 3
UFront 3
Coconut 3
Checkstyle 3
Electron 3
SmartFox 3
Systools 3
TJson 3
HxTelemetry 2
DBAdmin 2
Unknown 2
Monsoon 2
Sugoi 2
Redux 2
PureMvc 2
NodeJS 2
AdvancedLayout 2
Markdown 2
Layout 2
JStack 2
Gsap 2
Express 2
Feffects 2
HxcppDebugger 2
HaxeWebpack 2
JQuery 2
HxBolts 2
ZameParticles 2
Steamwrap 2
HaxeJSKit 2
RecordMacros 2
Haxegon 2
As3hx 2
Nme 2
Math 2
Glm 2
AndroidSupportV4 2
Mloader 2
Firetongue 2
Vuehx 2
HowlerJS 2
Continuation 2
Robotlegs 2
Hamcrest 2
Mmvc 2
Creates 2
Arguable 1
Bindings 1
Profiler 1
HtmlParser 1
Websocket 1
Pony 1
SourceMap 1
SmtpMailer 1
HxMake 1
SkylarkUI 1
Phaser 1
DConsole 1
ShaderBlox 1
SelectHxml 1
Refactor 1
PushState 1
Priori 1
ObjectInit 1
NodeWebkit 1
MTwin 1
MonsterDebugger 1
Jsprop 1
Mime 1
MConsole 1
MCli 1
LogShim 1
Keybinding 1
JsonRpc 1
HxTools 1
HxLibc 1
HaxeWebsocketRemoting 1
B2d 1
Babylonhx 1
WhatFormat 1
Glory 1
Sdl 1
HaxeLoader 1
ExtensionLocale 1
Nice 1
Niik 1
DataClass 1
Rxjs 1
Erazor 1
Detox 1
StbOggSound 1
CleverSort 1
FormatTiled 1
Triangulation 1
Asys 1
HxPixel 1
AsyncTools 1
HtmlHelper 1
Gm2D 1
CanvasMarkdown 1
Ansi 1
HaxeModular 1
Greensock 1
HxString 1
HxSignal 1
Mtprng 1
BitmapFont 1
HxInflate 1
Xt3d 1
Farcek 1
Hmm 1
ScreenManager 1
DatGui 1
Air3 1
Pako 1
Exception 1
HxMustache 1
Framework7 1
Fracs 1
Haxelow 1
HxAssert 1
HxArgs 1
HxDaedalus 1
Ceramic 1
Unifill 1
Doom 1
HxPolyK 1
Hxsl 1
HxSpiro 1
Jasper 1
HeadButt 1
Mohxa 1
Easylog 1
Just 1
KScenes 1
LSystem 1
Nodule 1
Poly2Trihx 1
Trilateral 1
Unity3D 1
Waxe 1
Yagp 1
GooglePlayGames 1
Feathers 1
Dragonbones 1
Bindx2 1
Hml 1
Elixir 1
Rebar3 1
Jsx 1
Zui 1
Mlib 1
Task 1
Unicode 1
CodeGen 1
PerfJS 1
Formula 1
OpenGL 1
HxIni 1
Mphx 1
Json2Object 1
SpriterHaxeEngine 1
HaxeKiwi 1
Cannonml 1
Socket 1
Mysql 1
Sqlite 1
Slambda 1
Docopt 1
ByteConvert 1
Kit2D 1
Total 1037
